domain,kind,rows,source_files,suggested_name
"uktc","needs_review","3","1","Uktc"
"fastred","needs_review","3","2","Fastred"
"tbinxpress","needs_review","3","1","Tbinxpress"
"stefany","needs_review","3","1","Stefany"
"flogistics","needs_review","3","2","Flogistics"
"rgm","needs_review","3","1","Rgm"
"jr","needs_review","3","1","Jr"
"express","needs_review","3","1","Express"
"magallon","needs_review","3","1","Magallon"
"pearl","needs_review","3","1","Pearl"
"martell","needs_review","3","2","Martell"
"wheel","needs_review","3","1","Wheel"
"tin","needs_review","3","1","Tin"
"eco","needs_review","3","1","Eco"
"transportadora","needs_review","2","1","Transportadora"
"ariana","needs_review","2","1","Ariana"
"backhaul","needs_review","2","1","Backhaul"
"trapika","needs_review","2","1","Trapika"
"ab","needs_review","2","2","Ab"
"torres","needs_review","2","2","Torres"
"im4","needs_review","2","1","Im4"
"brazil","needs_review","2","1","Brazil"
"abro","needs_review","2","1","Abro"
"ja","needs_review","2","1","Ja"
"steinar","needs_review","2","1","Steinar"
"stagecoach","needs_review","2","1","Stagecoach"
"cavsco","needs_review","2","2","Cavsco"
"sos","needs_review","2","1","Sos"
"solex","needs_review","2","1","Solex"
"simplified","needs_review","2","2","Simplified"
"champion","needs_review","2","1","Champion"
"iga","needs_review","2","2","Iga"
"jaime","needs_review","2","1","Jaime"
"cn","needs_review","2","2","Cn"
"servicio","needs_review","2","1","Servicio"
"rio","needs_review","2","1","Rio"
"d","needs_review","2","1","D"
"redway","needs_review","2","2","Redway"
"ready","needs_review","2","1","Ready"
"triple","needs_review","2","1","Triple"
"direct","needs_review","2","2","Direct"
"out","needs_review","2","1","Out"
"osvaldo","needs_review","2","1","Osvaldo"
"elihu","needs_review","2","2","Elihu"
"eon","needs_review","2","1","Eon"
"euro","needs_review","2","1","Euro"
"olympic","needs_review","2","2","Olympic"
"exone","needs_review","2","1","Exone"
"noel","needs_review","2","2","Noel"
"n","needs_review","2","1","N"
"mtx","needs_review","2","2","Mtx"
"flegsa","needs_review","2","1","Flegsa"
"zebra","needs_review","2","1","Zebra"
"gt","needs_review","2","2","Gt"
"alan","needs_review","2","1","Alan"
"melton","needs_review","2","2","Melton"
"g8","needs_review","2","1","G8"
"gammyt","needs_review","2","1","Gammyt"
"gbm","needs_review","2","1","Gbm"
"gevi","needs_review","2","2","Gevi"
"gf","needs_review","2","1","Gf"
"ghost","needs_review","2","1","Ghost"
"kvc","needs_review","2","1","Kvc"
"lra","needs_review","2","1","Lra"
"lilian","needs_review","2","1","Lilian"
"zp","needs_review","1","1","Zp"
"alfredo","needs_review","1","1","Alfredo"
"american","needs_review","1","1","American"
"americana","needs_review","1","1","Americana"
"anywhere","needs_review","1","1","Anywhere"
"apollo","needs_review","1","1","Apollo"
"asg","needs_review","1","1","Asg"
"autocarga","needs_review","1","1","Autocarga"
"autotransportes","needs_review","1","1","Autotransportes"
"bad","needs_review","1","1","Bad"
"benavides","needs_review","1","1","Benavides"
"c.s.t.","needs_review","1","1","C"
"c&t","needs_review","1","1","C&T"
"canyon","needs_review","1","1","Canyon"
"clh","needs_review","1","1","Clh"
"coorlcp","needs_review","1","1","Coorlcp"
"diana","needs_review","1","1","Diana"
"double","needs_review","1","1","Double"
"dsm","needs_review","1","1","Dsm"
"dx","needs_review","1","1","Dx"
"east","needs_review","1","1","East"
"faith","needs_review","1","1","Faith"
"fergo","needs_review","1","1","Fergo"
"flexcoah","needs_review","1","1","Flexcoah"
"fng","needs_review","1","1","Fng"
"free","needs_review","1","1","Free"
"furex","needs_review","1","1","Furex"
"g4","needs_review","1","1","G4"
"gigg","needs_review","1","1","Gigg"
"gmj","needs_review","1","1","Gmj"
"greenway","needs_review","1","1","Greenway"
"gsm","needs_review","1","1","Gsm"
"guzman","needs_review","1","1","Guzman"
"gx3","needs_review","1","1","Gx3"
"harvest","needs_review","1","1","Harvest"
"haulsa","needs_review","1","1","Haulsa"
"hbc","needs_review","1","1","Hbc"
"hego","needs_review","1","1","Hego"
"i","needs_review","1","1","I"
"iberomex","needs_review","1","1","Iberomex"
"jjm","needs_review","1","1","Jjm"
"jorgaby","needs_review","1","1","Jorgaby"
"juana","needs_review","1","1","Juana"
"keypoint","needs_review","1","1","Keypoint"
"lermon","needs_review","1","1","Lermon"
"m","needs_review","1","1","M"
"m&j","needs_review","1","1","M&J"
"madasa","needs_review","1","1","Madasa"
"maniflet","needs_review","1","1","Maniflet"
"mcm","needs_review","1","1","Mcm"
"mega","needs_review","1","1","Mega"
"mesilla","needs_review","1","1","Mesilla"
"moga","needs_review","1","1","Moga"
"mora","needs_review","1","1","Mora"
"oct","needs_review","1","1","Oct"
"otr","needs_review","1","1","Otr"
"pacific","needs_review","1","1","Pacific"
"panther","needs_review","1","1","Panther"
"paqueteria","needs_review","1","1","Paqueteria"
"pdl","needs_review","1","1","Pdl"
"quiroga","needs_review","1","1","Quiroga"
"r","needs_review","1","1","R"
"rendon","needs_review","1","1","Rendon"
"resilience","needs_review","1","1","Resilience"
"right","needs_review","1","1","Right"
"rus","needs_review","1","1","Rus"
"rvr","needs_review","1","1","Rvr"
"rye","needs_review","1","1","Rye"
"samax","needs_review","1","1","Samax"
"sbc","needs_review","1","1","Sbc"
"silvia","needs_review","1","1","Silvia"
"sistemas","needs_review","1","1","Sistemas"
"sm","needs_review","1","1","Sm"
"stallion","needs_review","1","1","Stallion"
"sunnyside","needs_review","1","1","Sunnyside"
"superload","needs_review","1","1","Superload"
"tci","needs_review","1","1","Tci"
"tno","needs_review","1","1","Tno"
"trafico","needs_review","1","1","Trafico"
"tranlo","needs_review","1","1","Tranlo"
"tranportes","needs_review","1","1","Tranportes"
"transportesbrenda","needs_review","1","1","Transportesbrenda"
"trata","needs_review","1","1","Trata"
"trob","needs_review","1","1","Trob"
"ttc","needs_review","1","1","Ttc"
"tum","needs_review","1","1","Tum"
"turr","needs_review","1","1","Turr"
"u","needs_review","1","1","U"
"unimex","needs_review","1","1","Unimex"
"west","needs_review","1","1","West"
"yac","needs_review","1","1","Yac"
"fleteradelnorte.com.mx","real_domain","451","1","Fleteradelnorte"
"wtsllc.net","real_domain","353","2","Wtsllc"
"conquestcarriers.com","real_domain","350","6","Conquestcarriers"
"codysurgroup.com","real_domain","268","1","Codysurgroup"
"tnt-trucklines.com","real_domain","236","2","Tnt-Trucklines"
"alpha-carriers.com","real_domain","205","3","Alpha-Carriers"
"santoyotransport.com","real_domain","194","3","Santoyotransport"
"simple-logistics.com","real_domain","181","1","Simple-Logistics"
"multicarriers.mx","real_domain","152","2","Multicarriers"
"secondchancetrans.com","real_domain","149","1","Secondchancetrans"
"greatwide-tm.com","real_domain","131","1","Greatwide-Tm"
"agencylst.com","real_domain","118","4","Agencylst"
"falcontransportinc.com","real_domain","113","4","Falcontransportinc"
"peacejoytrans.com","real_domain","83","1","Peacejoytrans"
"transportesalmher.com.mx","real_domain","81","1","Transportesalmher"
"bencochn.com","real_domain","65","3","Bencochn"
"drivetransport.net","real_domain","63","2","Drivetransport"
"yucarza.com","real_domain","62","2","Yucarza"
"jecov.com","real_domain","54","2","Jecov"
"its-log.com","real_domain","50","1","Its-Log"
"tnl-usa.com","real_domain","48","4","Tnl-Usa"
"flashcarriers.com","real_domain","47","4","Flashcarriers"
"tql.com","real_domain","45","4","Tql"
"gutierreztrucking.com","real_domain","45","3","Gutierreztrucking"
"traxion.global","real_domain","42","1","Traxion"
"werner.com","real_domain","37","2","Werner"
"transportesorta.com","real_domain","33","3","Transportesorta"
"wfreightllc.com","real_domain","31","2","Wfreightllc"
"esgotransport.com","real_domain","30","4","Esgotransport"
"db-xpress.com","real_domain","29","7","Db-Xpress"
"ocelotcarriers.com","real_domain","27","1","Ocelotcarriers"
"mfexpress.com.mx","real_domain","26","1","Mfexpress"
"wwrowland.com","real_domain","24","1","Wwrowland"
"transportesacg.com.mx","real_domain","24","2","Transportesacg"
"evansfood.com","real_domain","23","1","Evansfood"
"giggexpress.ca","real_domain","23","3","Giggexpress"
"orangexp.net","real_domain","21","3","Orangexp"
"ajgcarriers.com","real_domain","21","4","Ajgcarriers"
"mntrucking.com.mx","real_domain","20","2","Mntrucking"
"lfs-inc.com","real_domain","19","3","Lfs-Inc"
"mmrcarriers.com","real_domain","18","1","Mmrcarriers"
"leyendeckerscs.com","real_domain","18","1","Leyendeckerscs"
"pearllog.com","real_domain","18","1","Pearllog"
"delarub.com","real_domain","17","2","Delarub"
"charlytransportationllc.com","real_domain","16","2","Charlytransportationllc"
"transcabrera.com","real_domain","16","2","Transcabrera"
"deltaexpressinc.com","real_domain","16","3","Deltaexpressinc"
"stxgl.com","real_domain","15","2","Stxgl"
"ijoctransport.com","real_domain","15","1","Ijoctransport"
"infinitels.com","real_domain","14","1","Infinitels"
"interlinellc.com","real_domain","14","2","Interlinellc"
"midniteexpressinc.com","real_domain","14","1","Midniteexpressinc"
"cctransportllc.com","real_domain","13","1","Cctransportllc"
"gm-carriers.com","real_domain","13","1","Gm-Carriers"
"ietruck.com","real_domain","13","1","Ietruck"
"ltsmexicousa.com","real_domain","12","3","Ltsmexicousa"
"mlhtransportes.mx","real_domain","12","1","Mlhtransportes"
"super-loadtransport.com","real_domain","12","3","Super-Loadtransport"
"alekos.io","real_domain","11","1","Alekos"
"innsatrucking.com","real_domain","11","4","Innsatrucking"
"hhtransportes.com.mx","real_domain","10","1","Hhtransportes"
"transportesariben.com","real_domain","10","2","Transportesariben"
"didiscenter.con","real_domain","10","3","Didiscenter"
"overseastrade.com.mx","real_domain","8","2","Overseastrade"
"huerta-jcv.com","real_domain","8","1","Huerta-Jcv"
"agtrucking.net","real_domain","8","3","Agtrucking"
"transportesjth.com","real_domain","8","1","Transportesjth"
"netzero.net","real_domain","7","2","Netzero"
"coastcarriersllc.com","real_domain","7","2","Coastcarriersllc"
"iceldo.com","real_domain","7","1","Iceldo"
"gmial.com","real_domain","7","2","Gmial"
"frisfreight.com","real_domain","7","3","Frisfreight"
"globalmovement.co","real_domain","7","1","Globalmovement"
"merwide.com","real_domain","7","2","Merwide"
"millhouse.com","real_domain","7","3","Millhouse"
"uacl.com","real_domain","7","1","Uacl"
"grupoterramex.com","real_domain","6","1","Grupoterramex"
"karmaxps.com","real_domain","6","1","Karmaxps"
"tecma.com","real_domain","6","3","Tecma"
"gandtinternational.ca","real_domain","6","1","Gandtinternational"
"americatransportation.net","real_domain","6","1","Americatransportation"
"coldterminal.us","real_domain","6","1","Coldterminal"
"webleyexpressinc.com","real_domain","6","2","Webleyexpressinc"
"adapllc.com","real_domain","6","1","Adapllc"
"cg-freight.com","real_domain","6","1","Cg-Freight"
"currently.com","real_domain","6","1","Currently"
"dhgtransport.com","real_domain","6","1","Dhgtransport"
"gctrucklines.com","real_domain","6","1","Gctrucklines"
"tmc.com.mx","real_domain","6","1","Tmc"
"overlandtl.com","real_domain","5","1","Overlandtl"
"sethmar.com","real_domain","5","1","Sethmar"
"grams-express.com","real_domain","5","2","Grams-Express"
"vynera.com","real_domain","5","1","Vynera"
"royalexpressinc.com","real_domain","5","3","Royalexpressinc"
"catglobal.ca","real_domain","5","1","Catglobal"
"angeles-ts.com","real_domain","5","2","Angeles-Ts"
"transportesjuanitos.com.mx","real_domain","4","1","Transportesjuanitos"
"gmail.com.mx","real_domain","4","1","Gmail"
"arcb.com","real_domain","4","1","Arcb"
"transportes-gonzalez.com","real_domain","4","1","Transportes-Gonzalez"
"bookertrans.com","real_domain","4","1","Bookertrans"
"westmotor.com","real_domain","4","1","Westmotor"
"uft-us.com","real_domain","4","1","Uft-Us"
"morton-express.com","real_domain","4","2","Morton-Express"
"lcrtransport.com","real_domain","4","1","Lcrtransport"
"madasacarriers.net","real_domain","4","1","Madasacarriers"
"otrslaredotx.com","real_domain","4","3","Otrslaredotx"
"russelltransport.com","real_domain","4","1","Russelltransport"
"setraconsa.mx","real_domain","4","1","Setraconsa"
"olympictrasport.com","real_domain","4","2","Olympictrasport"
"grupogl.com.mx","real_domain","3","1","Grupogl"
"bassetruckline.com","real_domain","3","1","Bassetruckline"
"ordtrans.com","real_domain","3","1","Ordtrans"
"grupo-tm.com","real_domain","3","1","Grupo-Tm"
"simconnectfreight.com","real_domain","3","3","Simconnectfreight"
"cargodite.com","real_domain","3","1","Cargodite"
"loadlock.org","real_domain","3","1","Loadlock"
"mucino.com.mx","real_domain","3","3","Mucino"
"c-itrucking.com","real_domain","3","1","C-Itrucking"
"bennettig.com","real_domain","3","1","Bennettig"
"edslogistics.onmicrosoft.com","real_domain","3","1","Edslogistics"
"hbctransportation.com","real_domain","3","2","Hbctransportation"
"uway.com.mx","real_domain","3","1","Uway"
"bencochb.com","real_domain","3","2","Bencochb"
"dfctl.net","real_domain","3","1","Dfctl"
"acmintltransport.com","real_domain","2","2","Acmintltransport"
"primeexpressmi.com","real_domain","2","1","Primeexpressmi"
"eickhoff-ent.com","real_domain","2","2","Eickhoff-Ent"
"startranspa.com","real_domain","2","1","Startranspa"
"ftcompliance.com","real_domain","2","2","Ftcompliance"
"gptransco.com","real_domain","2","1","Gptransco"
"usjames.com","real_domain","2","1","Usjames"
"m3delivery.com","real_domain","2","1","M3delivery"
"twobrothersfreight.com","real_domain","2","1","Twobrothersfreight"
"expedite-logistics.com","real_domain","2","1","Expedite-Logistics"
"prioritytransinc.com","real_domain","2","1","Prioritytransinc"
"transportesoag.com","real_domain","2","1","Transportesoag"
"chhcarrier.com","real_domain","2","1","Chhcarrier"
"texairdelivery.com","real_domain","2","1","Texairdelivery"
"midostrucking.com","real_domain","2","1","Midostrucking"
"moraexpress.com","real_domain","2","1","Moraexpress"
"orbitzss.com","real_domain","2","1","Orbitzss"
"wsollogistics.com","real_domain","2","2","Wsollogistics"
"fjcarrierlogistics.com","real_domain","2","2","Fjcarrierlogistics"
"laredo.globalpc.net","real_domain","2","1","Laredo"
"maskarga.com","real_domain","2","1","Maskarga"
"solucionesdecarga.com","real_domain","2","2","Solucionesdecarga"
"diamondlaredo.org","real_domain","2","1","Diamondlaredo"
"ferjetcargo.com","real_domain","2","1","Ferjetcargo"
"rcdlogistics.net","real_domain","2","1","Rcdlogistics"
"transportespuebla.com.mx","real_domain","2","1","Transportespuebla"
"strongonefreightllc.us","real_domain","2","1","Strongonefreightllc"
"interlog.mx","real_domain","2","2","Interlog"
"cedarrivertransport.com","real_domain","2","2","Cedarrivertransport"
"ximple.mx","real_domain","2","1","Ximple"
"transexpert.ca","real_domain","2","2","Transexpert"
"pinnaclelogistics.com","real_domain","2","1","Pinnaclelogistics"
"logisticakomet.com","real_domain","1","1","Logisticakomet"
"luckywheelsllc.com","real_domain","1","1","Luckywheelsllc"
"gmail.comfraba.container","real_domain","1","1","Gmail"
"lukascargosystems.com","real_domain","1","1","Lukascargosystems"
"twobrotherscarriers.us","real_domain","1","1","Twobrotherscarriers"
"gltransfer.com","real_domain","1","1","Gltransfer"
"majewskitransportation.com","real_domain","1","1","Majewskitransportation"
"alemantrucking.com","real_domain","1","1","Alemantrucking"
"globetr.net","real_domain","1","1","Globetr"
"gatetrans.net","real_domain","1","1","Gatetrans"
"maverickexpresscarriers.com","real_domain","1","1","Maverickexpresscarriers"
"2vtrucking.com","real_domain","1","1","2vtrucking"
"me.com","real_domain","1","1","Me"
"mencarlic.com","real_domain","1","1","Mencarlic"
"freightpass.co","real_domain","1","1","Freightpass"
"misl.us","real_domain","1","1","Misl"
"mmdispatch.net","real_domain","1","1","Mmdispatch"
"ugcarrier.com","real_domain","1","1","Ugcarrier"
"moldexinc.com","real_domain","1","1","Moldexinc"
"morganexpress.com.mx","real_domain","1","1","Morganexpress"
"mpoloex.com","real_domain","1","1","Mpoloex"
"mucino.com","real_domain","1","1","Mucino"
"falytransport.com","real_domain","1","1","Falytransport"
"nimatransportgroup.com","real_domain","1","1","Nimatransportgroup"
"nordentransportinc.com","real_domain","1","1","Nordentransportinc"
